Confirmed,Genus,species,Sample.Type.Taken,Age_class,Sex,Date and Time,day.found,month.found,year.found,Latitude,Longitude,Northing,Easting,Confirmed Habitat,Aquatic or Terrestrial,Burrow.ID,Diameter,Scoped,Burrow_Status,Grid.ID,Wetland.ID,Notes,Citation,Site,County,State,Data_conta,Data_org,Region,Data.Source,Duplicate,Notes on duplicate
Confirmed,Rana,capito,,,,,10,,1993,31.92194,-81.81556,3553534.106,-7681327.999,dip net,,,,,,,,,,,Long,Georgia,Matt Elliot,GA_DNR,Coastal Plain,,,
Confirmed,Rana,capito,,,,,24,,1993,31.91194,-81.81194,3552420.911,-7680988.132,dip net,,,,,,,,,,,Long,Georgia,Matt Elliot,GA_DNR,Coastal Plain,,,
Confirmed,Rana,capito,,Eggs,,,6,,1994,31.29982154,-84.46175675,3484280.196,-7929768.579,wetland,,,,,,,15,"8 egg masses observed by J. Palis, L. LaClaire, R. Smith, and S. Smith",,Ich_wetland_15,Baker,Georgia,Lora Smith,GA_Ichauway,Coastal Plain,,,
Confirmed,Rana,capito,,Eggs,,,6,,1994,31.248069,-84.512825,3478519.129,-7934563.168,wetland,,,,,,,49,"capito egg mass observed by J. Palis, L. LaClaire, R. Smith, and S. Smith",,Ich_wetland_49,Baker,Georgia,Lora Smith,GA_Ichauway,Coastal Plain,,,
Confirmed,Rana,capito,,Larva,,,8,,1994,31.49833,-81.60972,3506378.056,-7662002.524,incidental,,,,,,,,1994-03-08: TADPOLE COLLECTED AT THIS TIME METAMORPHOSED IN CAPTIVITY TO GOPHER FROG (RANA CAPITO; SSP. CAPITO?),,PLUM ORCHARD CEMETERY,McIntosh,Georgia,Matt Elliot,GA_DNR,Coastal Plain,,,
Confirmed,Rana,capito,,,,,22,,1994,31.93972,-81.45806,3555513.366,-7647763.788,dip net,,,,,,,,,,Fort Stewart,Liberty,Georgia,Matt Elliot,GA_DNR,Coastal Plain,,,
Confirmed,Rana,capito,,,,,0,,1997,32.5778,-84.269744,3626544.107,-7911741.288,dip net,,,,,,,,Locality from 1997 to present at Fall Line Sandhills WMA. In 2014 USGS surveyed two wetlands on the site and confirmed the presence of Gopher frogs. *coordinates reference  Big Pond.,Terrell and Maerz 2099,Fall Line Sandhills WMA,Taylor,Georgia,John Maerz,GA_UGA,Coastal Plain,,,
Confirmed,Rana,capito,,,,,0,,1997,32.571339,-84.284891,3625824.872,-7913163.378,road,,,,,,,,Locality from 1997 to present at Fall Line Sandhills WMA. In 2014 USGS surveyed two wetlands on the site and confirmed the presence of Gopher frogs. *coordinates reference Railroad Pond.,Terrell and Maerz 2098,Fall Line Sandhills WMA,Taylor,Georgia,John Maerz,GA_UGA,Coastal Plain,,,
Confirmed,Rana,capito,,,,,25,,1997,32.48411455,-84.39688174,3616115.091,-7923677.73,dip net,,,,,,,,,,Taylor,Taylor,Georgia,Matt Elliot,GA_DNR,Coastal Plain,,,
Confirmed,Rana,capito,,Larva,,,5,,1998,31.26110399,-84.53053539,3479970.178,-7936225.924,dip net,,,,,,,40,"Dip-netted by S.A. Johnson, J. Jensen and Bobby Bass, a few small tadpoles captured and released",,Ich_wetland_40,Baker,Georgia,Lora Smith,GA_Ichauway,Coastal Plain,,,
