WetlandID,Site,Year,Hydroperiod,visits,prop_water
3,Alapaha River WMA,2024,7,7,1
4,Alapaha River WMA,2024,7,7,1
8,Alapaha River WMA,2024,4,7,0.571428571
10,Alapaha River WMA,2024,5,7,0.714285714
15,Alapaha River WMA,2024,7,7,1
18,Alapaha River WMA,2024,7,7,1
20,Alapaha River WMA,2024,4,6,0.666666667
23,Alapaha River WMA,2024,6,7,0.857142857
29,Alapaha River WMA,2024,6,7,0.857142857
30,Alapaha River WMA,2024,7,7,1
31,Alapaha River WMA,2024,6,7,0.857142857
32,Alapaha River WMA,2024,4,6,0.666666667
34,Alapaha River WMA,2024,4,6,0.666666667
39,Alapaha River WMA,2024,6,7,0.857142857
41,Alapaha River WMA,2024,6,7,0.857142857
42,Alapaha River WMA,2024,7,7,1
43,Alapaha River WMA,2024,6,7,0.857142857
170,Cabin Bluff,2024,4,4,1
179,Cabin Bluff,2024,4,4,1
183,Cabin Bluff,2024,2,4,0.5
184,Cabin Bluff,2024,3,4,0.75
189,Cabin Bluff,2024,4,4,1
290,Cabin Bluff,2024,4,4,1
22,Ceylon WMA,2024,4,4,1
37,Ceylon WMA,2024,4,5,0.8
41,Ceylon WMA,2024,4,4,1
54,Ceylon WMA,2024,5,5,1
55,Ceylon WMA,2024,5,6,0.833333333
59,Ceylon WMA,2024,6,6,1
60,Ceylon WMA,2024,2,2,1
62,Ceylon WMA,2024,3,3,1
69,Ceylon WMA,2024,5,5,1
109,Ceylon WMA,2024,5,5,1
127,Ceylon WMA,2024,5,5,1
109B,Ceylon WMA,2024,5,5,1
41B,Ceylon WMA,2024,5,5,1
69B,Ceylon WMA,2024,2,2,1
21,Jones Center Ichauway,2024,3,4,0.75
37,Jones Center Ichauway,2024,2,2,1
41,Jones Center Ichauway,2024,2,2,1
42,Jones Center Ichauway,2024,6,6,1
46,Jones Center Ichauway,2024,6,6,1
49,Jones Center Ichauway,2024,6,6,1
50,Jones Center Ichauway,2024,5,5,1
51,Jones Center Ichauway,2024,6,6,1
53,Jones Center Ichauway,2024,6,6,1
55,Jones Center Ichauway,2024,6,6,1
Cutgrass,Townsend WMA,2024,5,5,1
Deadwood,Townsend WMA,2024,0,3,0
Milfoil,Townsend WMA,2024,2,5,0.4
Plum Orchard,Townsend WMA,2024,3,6,0.5
Snot Bonnet,Townsend WMA,2024,5,6,0.833333333
15,Jones Center Ichauway,2024,6,7,0.857142857
39,Jones Center Ichauway,2024,0,3,0
40,Jones Center Ichauway,2024,5,5,1
