pt_id,Latitude,Longitude,nearest_wetland_id_1,nearest_wetland_id_2,nearest_wetland_id_3,dist_m_1,dist_m_2,dist_m_3,dist_km_1,dist_km_2,dist_km_3,Confirmed Habitat,year.found,Site,County
1,3422770.3331190515,440930.02835714107,41,41B,22,160.32632858452183,195.24520319237902,1214.1206069881464,0.16032632858452184,0.19524520319237904,1.2141206069881465,Tortoise burrow,2024,Ceylon,Camden
2,3422759.7939440887,440931.8805733821,41,41B,22,159.1146257270699,185.89355980765723,1224.7069527131948,0.15911462572706989,0.18589355980765723,1.2247069527131949,Tortoise burrow,2024,Ceylon,Camden
3,3422797.43747525,440898.9390490798,41,41B,22,138.19686176554765,235.9044435037359,1178.7791483605483,0.13819686176554766,0.2359044435037359,1.1787791483605483,Tortoise burrow,2024,Ceylon,Camden
4,3422760.5990502993,440930.99561352096,41,41B,22,158.49422820381798,187.07877016430743,1223.6646817743554,0.15849422820381798,0.18707877016430743,1.2236646817743553,Tortoise Burrow,2024,Ceylon,Camden
5,3422859.0822764887,441063.11767032143,41B,41,22,242.32646880925657,313.11598608036667,1181.999677147476,0.24232646880925657,0.31311598608036667,1.181999677147476,Tortoise Burrow,2024,Ceylon,Camden
6,3424692.5492428495,439968.67454971507,37,127,54,216.86525369618457,695.3020680541613,744.3868413886324,0.21686525369618456,0.6953020680541613,0.7443868413886324,Tortoise Burrow,2024,Ceylon,Camden
7,3424532.1362618604,439873.19616958365,37,127,54,279.853436162972,509.1813480995298,566.3715072032704,0.279853436162972,0.5091813480995299,0.5663715072032705,Tortoise Burrow,2024,Ceylon,Camden
8,3424767.1442728615,439663.0070349169,37,127,54,55.97663655077178,646.0321057953859,784.6194921230649,0.05597663655077178,0.6460321057953858,0.7846194921230649,Tortoise Burrow,2024,Ceylon,Camden
9,3423163.164182875,443245.2836017245,59,62,60,108.24675166984478,273.2419493916354,388.0755228237952,0.10824675166984478,0.2732419493916354,0.3880755228237952,Tortoise Burrow,2024,Ceylon,Camden
10,3423688.9842699487,439329.8761486843,55,54,127,195.64040167265773,301.37310797943513,360.18545361175285,0.19564040167265773,0.3013731079794351,0.36018545361175286,Tortoise Burrow,2024,Ceylon,Camden
11,3424695.9492231435,440020.21487254766,37,127,54,255.10871114224489,727.8568589763507,763.0377355600805,0.25510871114224487,0.7278568589763508,0.7630377355600805,Tortoise Burrow,2024,Ceylon,Camden
12,3424699.2444685525,440169.17558133113,37,22,127,370.0208550186607,787.4238487252919,825.4160384369129,0.3700208550186607,0.7874238487252919,0.8254160384369129,Tortoise Burrow,2024,Ceylon,Camden
13,3424742.7940709176,440101.4773679868,37,127,54,289.5542346266088,814.0171511896098,836.2661877417829,0.2895542346266088,0.8140171511896097,0.836266187741783,Tortoise Burrow,2024,Ceylon,Camden
14,3423794.1272949385,439461.27402919595,55,54,127,77.53086178100322,133.1881173644314,221.43226830175306,0.07753086178100323,0.1331881173644314,0.22143226830175305,Tortoise burrow,2024,Ceylon,Camden
15,3423794.1272949385,439461.27402919595,55,54,127,77.53086178100322,133.1881173644314,221.43226830175306,0.07753086178100323,0.1331881173644314,0.22143226830175305,Tortoise burrow,2024,Ceylon,Camden
16,3424746.971827753,440102.1695078607,37,127,54,287.7835781923628,817.7344488899835,840.3755340447174,0.28778357819236283,0.8177344488899835,0.8403755340447173,Tortoise Burrow,2024,Ceylon,Camden
17,3422765.3114730082,440933.6088338734,41,41B,22,162.33623093385035,189.08534534627515,1220.0166753382036,0.16233623093385036,0.18908534534627514,1.2200166753382036,Terrestrial,2024,Ceylon WMA,Camden
