"Confirmed Habitat","year.found","Latitude","Longitude","Site","County"
"burrow",2012,30.94114087,-81.59259189,"Ocean Pond Sandhill","Camden"
"burrow",2012,30.94055078,-81.58083136,"East of Barrel Head Swamp #2","Camden"
"burrow",2012,30.94141696,-81.59426558,"Ocean Pond Sandhill","Camden"
"burrow",2012,30.94055078,-81.58083136,"East of Barrel Head Swamp #2","Camden"
"burrow",2012,30.94056961,-81.57972254,"E. of Barrel Head Swamp #3","Camden"
"burrow",2012,30.94141696,-81.59426558,"Ocean Pond Sandhill","Camden"
"burrow",2012,30.94892548,-81.591519,"Indigo Sandhill","Camden"
"burrow",2012,30.94887029,-81.59381495,"Indigo Sandhill","Camden"
"burrow",2012,30.93584038,-81.59203392,"Ocean Pond Sandhill","Camden"
"burrow",2012,30.94055078,-81.58083136,"East of Barrel Head Swamp #2","Camden"
"burrow",2012,30.94980881,-81.5920769,"Indigo Sandhill","Camden"
"burrow",2012,30.94055078,-81.58083136,"East of Barrel Head Swamp #2","Camden"
"burrow",2012,30.94119609,-81.59353594,"Ocean Pond Sandhill","Camden"
"burrow",2018,30.926006,-81.546204,"Cabin Bluff","Camden"
"burrow",2018,30.929464,-81.528275,"Cabin Bluff","Camden"
"burrow",2018,30.930983,-81.528735,"Cabin Bluff","Camden"
"Tortoise burrow",2020,30.93297848,-81.61880746,"Ceylon","Camden"
"Tortoise burrow",2020,30.93306452,-81.61713228,"Ceylon","Camden"
"Tortoise burrow",2020,30.93302942,-81.61700896,"Ceylon","Camden"
"Tortoise burrow",2020,30.93312785,-81.61784565,"Ceylon","Camden"
"Tortoise burrow",2020,30.9330788,-81.61927496,"Ceylon","Camden"
"Tortoise burrow",2020,30.9330861,-81.61897378,"Ceylon","Camden"
"Tortoise burrow",2020,30.93172457,-81.56783573,"Ceylon","Camden"
"Tortoise burrow",2020,30.95211184,-81.54483672,"Ceylon","Camden"
"Tortoise burrow",2020,30.93292767,-81.61706831,"Ceylon","Camden"
"Tortoise burrow",2020,30.93448043,-81.61790986,"Ceylon","Camden"
"Tortoise burrow",2020,30.93437588,-81.61836201,"Ceylon","Camden"
"Tortoise burrow",2020,30.95483301,-81.63170517,"Ceylon","Camden"
"Tortoise burrow",2020,30.95306253,-81.62867748,"Ceylon","Camden"
"Tortoise burrow",2020,30.94900568,-81.63109776,"Ceylon","Camden"
"Tortoise burrow",2020,30.9474952,-81.63319241,"Ceylon","Camden"
"Tortoise burrow",2020,30.9367707,-81.61831925,"Ceylon","Camden"
"Tortoise burrow",2020,30.94658861,-81.63361067,"Ceylon","Camden"
"Tortoise burrow",2020,30.94414033,-81.61850365,"Ceylon","Camden"
"Tortoise burrow",2020,30.93648072,-81.61772436,"Ceylon","Camden"
"Tortoise burrow",2020,30.94556203,-81.63474199,"Ceylon","Camden"
"Tortoise burrow",2020,30.94537433,-81.63547747,"Ceylon","Camden"
"Tortoise burrow",2020,30.94544376,-81.63524101,"Ceylon","Camden"
"Tortoise burrow",2020,30.94758415,-81.63444036,"Ceylon","Camden"
"Tortoise burrow",2020,30.95081483,-81.63068261,"Ceylon","Camden"
"Tortoise burrow",2020,30.95115348,-81.63183209,"Ceylon","Camden"
"Tortoise burrow",2020,30.95106661,-81.63277169,"Ceylon","Camden"
"Tortoise burrow",2020,30.93947425,-81.61687966,"Ceylon","Camden"
"Tortoise burrow",2020,30.95503248,-81.62762426,"Ceylon","Camden"
"Tortoise burrow",2020,30.94061151,-81.61455846,"Ceylon","Camden"
"Tortoise burrow",2020,30.93653045,-81.616177,"Ceylon","Camden"
"Tortoise burrow",2020,30.95265156,-81.62877914,"Ceylon","Camden"
"Tortoise burrow",2020,30.93843253,-81.61593451,"Ceylon","Camden"
"Tortoise burrow",2020,30.94495595,-81.63418642,"Ceylon","Camden"
"Tortoise burrow",2020,30.94265452,-81.63522746,"Ceylon","Camden"
"Tortoise burrow",2020,30.94075003,-81.58217487,"Ceylon","Camden"
"Tortoise burrow",2020,30.93750982,-81.61848405,"Ceylon","Camden"
"Tortoise burrow",2020,30.93564922,-81.61585561,"Ceylon","Camden"
"Tortoise burrow",2020,30.94525918,-81.63384579,"Ceylon","Camden"
"Tortoise burrow",2020,30.9398688,-81.63506284,"Ceylon","Camden"
"Tortoise burrow",2020,30.95457466,-81.63127326,"Ceylon","Camden"
"Tortoise burrow",2020,30.95358951,-81.62770584,"Ceylon","Camden"
"Tortoise burrow",2020,30.95003455,-81.62959339,"Ceylon","Camden"
"Tortoise burrow",2020,30.94947035,-81.63203771,"Ceylon","Camden"
"Tortoise burrow",2020,30.94930593,-81.63368769,"Ceylon","Camden"
"Tortoise burrow",2020,30.93564527,-81.63910327,"Ceylon","Camden"
"Tortoise burrow",2020,30.93695538,-81.59175149,"Ceylon","Camden"
"Tortoise burrow",2021,30.95083402,-81.63140964,"Ceylon","Camden"
"Tortoise burrow",2021,30.95083402,-81.63140964,"Ceylon","Camden"
"Tortoise burrow",2021,30.93292851,-81.61706821,"Ceylon","Camden"
"Tortoise burrow",2021,30.94525876,-81.63384256,"Ceylon","Camden"
"Tortoise burrow",2021,30.93292851,-81.61706821,"Ceylon","Camden"
"Tortoise burrow",2021,30.959575,-81.627289,"Ceylon","Camden"
"Tortoise burrow",2021,30.95435691,-81.62857312,"Ceylon","Camden"
"Tortoise burrow",2021,30.935916,-81.616562,"Ceylon","Camden"
"Tortoise burrow",2021,30.9510702,-81.63276658,"Ceylon","Camden"
"Tortoise burrow",2021,30.95106915,-81.63277038,"Ceylon","Camden"
"Tortoise burrow",2021,30.95081542,-81.63068049,"Ceylon","Camden"
"Tortoise burrow",2021,30.94759089,-81.63320283,"Ceylon","Camden"
"Tortoise burrow",2021,30.94759089,-81.63320283,"Ceylon","Camden"
"Tortoise burrow",2021,30.9475679,-81.63318967,"Ceylon","Camden"
"Tortoise burrow",2021,30.94630987,-81.63364654,"Ceylon","Camden"
"Tortoise burrow",2021,30.94520437,-81.63483627,"Ceylon","Camden"
"Tortoise burrow",2021,30.93648398,-81.61772392,"Ceylon","Camden"
"Tortoise burrow",2021,30.93677152,-81.61831848,"Ceylon","Camden"
"Tortoise burrow",2021,30.94610684,-81.63414055,"Ceylon","Camden"
"Tortoise burrow",2021,30.94616095,-81.63348242,"Ceylon","Camden"
"Tortoise burrow",2021,30.94610684,-81.63414055,"Ceylon","Camden"
"Tortoise burrow",2021,30.9477322,-81.63280065,"Ceylon","Camden"
"Tortoise burrow",2021,30.94659145,-81.63348906,"Ceylon","Camden"
"Tortoise burrow",2021,30.936775,-81.618314,"Ceylon","Camden"
"Tortoise burrow",2021,30.94490554,-81.63423051,"Ceylon","Camden"
"Tortoise burrow",2021,30.94615226,-81.63348164,"Ceylon","Camden"
"Tortoise burrow",2021,30.936775,-81.618314,"Ceylon","Camden"
"Tortoise burrow",2021,30.9368734,-81.61832551,"Ceylon","Camden"
"Tortoise burrow",2021,30.94659145,-81.63348906,"Ceylon","Camden"
"Tortoise burrow",2021,30.93648138,-81.61771809,"Ceylon","Camden"
"Tortoise burrow",2021,30.94630987,-81.63364654,"Ceylon","Camden"
"Tortoise burrow",2021,30.94610684,-81.63414055,"Ceylon","Camden"
"Tortoise burrow",2021,30.93648138,-81.61771809,"Ceylon","Camden"
"Tortoise burrow",2021,30.95424201,-81.62836985,"Ceylon","Camden"
"Tortoise burrow",2021,30.93689536,-81.61834808,"Ceylon","Camden"
"Tortoise burrow",2021,30.95455313,-81.63112936,"Ceylon","Camden"
"Tortoise burrow",2021,30.9543538,-81.62857769,"Ceylon","Camden"
"Tortoise burrow",2021,30.93648138,-81.61771809,"Ceylon","Camden"
"Tortoise burrow",2021,30.93689208,-81.61835665,"Ceylon","Camden"
"Tortoise burrow",2021,30.94610937,-81.63414375,"Ceylon","Camden"
"Tortoise burrow",2021,30.93648032,-81.61771604,"Ceylon","Camden"
NA,2022,30.94414831,-81.6185065,"Ceylon","Camden"
NA,2022,30.94615236,-81.63348162,"Ceylon","Camden"
NA,2022,30.93317383,-81.61891768,"Ceylon","Camden"
NA,2022,30.95417031,-81.62842215,"Ceylon","Camden"
NA,2022,30.95422785,-81.62848154,"Ceylon","Camden"
NA,2022,30.93591108,-81.6165515,"Ceylon","Camden"
NA,2022,30.95412421,-81.62881376,"Ceylon","Camden"
NA,2022,30.95405065,-81.6289525,"Ceylon","Camden"
NA,2022,30.94406176,-81.61701061,"Ceylon","Camden"
NA,2022,30.9414297,-81.58333172,"Ceylon","Camden"
NA,2022,30.94657045,-81.63357174,"Ceylon","Camden"
NA,2022,30.94764032,-81.63439118,"Ceylon","Camden"
NA,2022,30.94679221,-81.63344521,"Ceylon","Camden"
NA,2022,30.95410331,-81.6266867,"Ceylon","Camden"
NA,2022,30.94679221,-81.63344521,"Ceylon","Camden"
NA,2022,30.95583368,-81.62758649,"Ceylon","Camden"
NA,2022,30.95448541,-81.62771436,"Ceylon","Camden"
NA,2022,30.93329067,-81.61932991,"Ceylon","Camden"
NA,2022,30.93648266,-81.6177262,"Ceylon","Camden"
NA,2022,30.936775,-81.618314,"Ceylon","Camden"
NA,2022,30.95003087,-81.6295851,"Ceylon","Camden"
NA,2022,30.95079732,-81.63067626,"Ceylon","Camden"
NA,2022,30.94510029,-81.63474686,"Ceylon","Camden"
NA,2022,30.9461191,-81.63413973,"Ceylon","Camden"
NA,2022,30.94929757,-81.63368738,"Ceylon","Camden"
"Tortoise burrow",2023,30.936782,-81.618319,"Ceylon","Camden"
NA,2023,30.936776,-81.618308,"Ceylon","Camden"
"Tortoise burrow",2024,30.936878,-81.618341,"Ceylon","Camden"
"Tortoise burrow",2024,30.936783,-81.618321,"Ceylon","Camden"
"Tortoise burrow",2024,30.937121,-81.618668,"Ceylon","Camden"
"Tortoise Burrow",2024,30.93679022,-81.61833031,"Ceylon","Camden"
"Tortoise Burrow",2024,30.93768542,-81.61695304,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95417317,-81.62851739,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95272094,-81.62950749,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95483062,-81.63172194,"Ceylon","Camden"
"Tortoise Burrow",2024,30.94053608,-81.59412809,"Ceylon","Camden"
"Tortoise Burrow",2024,30.94508557,-81.63514525,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95420647,-81.627978,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95424377,-81.62641868,"Ceylon","Camden"
"Tortoise Burrow",2024,30.95463327,-81.62713,"Ceylon","Camden"
"Tortoise burrow",2024,30.946041,-81.633776,"Ceylon","Camden"
"Tortoise burrow",2024,30.946041,-81.633776,"Ceylon","Camden"
"Tortoise Burrow",2024,30.954671,-81.627123,"Ceylon","Camden"
"Terrestrial",2024,30.93683287,-81.61830323,"Ceylon WMA","Camden"
"Terrestrial",2024,30.93715087,-81.61865186,"Ceylon WMA","Camden"
"Terrestrial",2024,30.93500317,-81.61705448,"Ceylon WMA","Camden"
"Terrestrial",2024,30.93766606,-81.61695751,"Ceylon WMA","Camden"
"Tortoise burrow",2024,30.95003915,-81.62962952,"Ceylon WMA","Camden"
"Terrestrial",2024,30.95074174,-81.63076745,"Ceylon WMA","Camden"
"Tortoise burrow",2024,30.95418474,-81.62847349,"Ceylon WMA","Camden"
"Tortoise Burrow",2024,30.94091682,-81.59427553,"Ceylon WMA","Camden"
"Terrestrial",2024,30.94257875,-81.59413202,"Ceylon WMA","Camden"
"Terrestrial",2024,30.94238736,-81.59388485,"Ceylon WMA","Camden"
