"param","Rhat","ESS"
"beta_mon_egg[1]",1.01959380651543,1711.60307401949
"beta_mon_egg[2]",1.01333713107917,496.434204798746
"beta_mon_egg[3]",1.01477777614675,699.87436824577
"beta_mon_egg[4]",1.02752303368518,1618.33057770023
"beta_mon_egg[5]",1.02495984735951,3765.72831304383
"beta_mon_egg[6]",1.01259152304053,5906.98417644871
"beta_mon_egg[8]",1.01173316298575,5189.85357956341
"beta_mon_egg[9]",1.02020906116983,6231.31251041713
"beta_mon_egg[10]",1.02069067895908,5943.07652539801
"beta_mon_egg[11]",1.01779083091306,3714.33567942508
"beta_mon_egg[12]",1.03842109361925,5040.91802094259
"beta_yr_egg[1]",1.01806178133524,5334.96461949357
"beta_yr_egg[2]",1.04442994835237,378.498276028594
"beta_yr_egg[3]",1.01577732159104,437.735837850131
"z[1,1,2]",1.29095814540987,2499.99999999987
"z[1,2,2]",1.13382516887409,4999.9999999998
"z[1,3,2]",1.13382516887409,4999.99999999988
"z[2,6,2]",1.01823140492646,7499.99999999981
"z[1,7,2]",1.04438776588801,7500.00000000016
"z[1,8,2]",1.03909231172013,7499.99999999956
"z[1,13,2]",1.06451969346437,7499.99999999994
"z[1,2,3]",1.02211913806303,6866.82519231937
"z[1,8,3]",1.01091015310878,7352.01864697979
"beta0_dip",1.00921436368228,1093.01383205375
"beta_yr_dip[3]",1.00995753327558,892.985191361705
"z[2,1,2]",NA,0
"z[1,4,2]",NA,0
"z[1,6,2]",NA,0
"z[2,7,2]",NA,0
"z[2,8,2]",NA,0
"z[2,9,2]",NA,0
"z[2,10,2]",NA,0
"z[2,11,2]",NA,0
"z[2,12,2]",NA,0
"z[2,13,2]",NA,0
"z[2,1,3]",NA,0
"z[2,2,3]",NA,0
"z[2,3,3]",NA,0
"z[1,6,3]",NA,0
"z[1,7,3]",NA,0
"z[2,7,3]",NA,0
"z[2,8,3]",NA,0
"z[2,9,3]",NA,0
"z[1,10,3]",NA,0
"z[2,10,3]",NA,0
"z[2,11,3]",NA,0
"z[2,12,3]",NA,0
