site,wetlandid,date,year,month,Detected
Jones Center Ichauway,15,2023-01-13,2023,January,0
Jones Center Ichauway,46,2023-01-13,2023,January,0
Jones Center Ichauway,47,2023-01-13,2023,January,0
Jones Center Ichauway,48,2023-01-13,2023,January,0
Jones Center Ichauway,49,2023-01-13,2023,January,0
Jones Center Ichauway,50,2023-01-13,2023,January,0
Jones Center Ichauway,51,2023-01-13,2023,January,0
Jones Center Ichauway,53,2023-01-13,2023,January,0
Jones Center Ichauway,55,2023-01-13,2023,January,0
Jones Center Ichauway,41,2023-01-15,2023,January,0
Jones Center Ichauway,40,2023-01-15,2023,January,0
Jones Center Ichauway,39,2023-01-15,2023,January,0
Jones Center Ichauway,42,2023-01-15,2023,January,0
Jones Center Ichauway,37,2023-01-15,2023,January,0
Jones Center Ichauway,15,2023-01-23,2023,January,0
Jones Center Ichauway,53,2023-01-23,2023,January,0
Jones Center Ichauway,51,2023-01-23,2023,January,0
Jones Center Ichauway,42,2023-01-23,2023,January,0
Jones Center Ichauway,46,2023-01-23,2023,January,0
Jones Center Ichauway,49,2023-01-23,2023,January,0
Jones Center Ichauway,50,2023-01-23,2023,January,0
Jones Center Ichauway,55,2023-01-23,2023,January,0
Jones Center Ichauway,15,2023-01-27,2023,January,0
Jones Center Ichauway,53,2023-01-27,2023,January,0
Jones Center Ichauway,51,2023-01-27,2023,January,0
Jones Center Ichauway,42,2023-01-27,2023,January,0
Jones Center Ichauway,46,2023-01-27,2023,January,0
Jones Center Ichauway,49,2023-01-27,2023,January,0
Jones Center Ichauway,50,2023-01-27,2023,January,0
Jones Center Ichauway,55,2023-01-27,2023,January,0
Jones Center Ichauway,15,2023-01-31,2023,January,0
Jones Center Ichauway,53,2023-01-31,2023,January,0
Jones Center Ichauway,42,2023-01-31,2023,January,0
Jones Center Ichauway,51,2023-01-31,2023,January,0
Jones Center Ichauway,51,2023-02-02,2023,February,0
Jones Center Ichauway,53,2023-02-02,2023,February,0
Jones Center Ichauway,42,2023-02-02,2023,February,0
Jones Center Ichauway,50,2023-02-02,2023,February,0
Jones Center Ichauway,55,2023-02-02,2023,February,0
Jones Center Ichauway,49,2023-02-02,2023,February,0
Jones Center Ichauway,46,2023-02-02,2023,February,0
Jones Center Ichauway,15,2023-02-02,2023,February,0
Jones Center Ichauway,49,2023-02-07,2023,February,0
Jones Center Ichauway,50,2023-02-07,2023,February,0
Jones Center Ichauway,55,2023-02-07,2023,February,0
Jones Center Ichauway,46,2023-02-07,2023,February,0
Jones Center Ichauway,42,2023-02-07,2023,February,0
Jones Center Ichauway,53,2023-02-07,2023,February,0
Jones Center Ichauway,51,2023-02-07,2023,February,0
Jones Center Ichauway,51,2023-02-14,2023,February,0
Jones Center Ichauway,42,2023-02-14,2023,February,0
Jones Center Ichauway,46,2023-02-14,2023,February,0
Jones Center Ichauway,53,2023-02-14,2023,February,0
