wetland_id,cleaning_id_1,cleaning_id_2,cleaning_id_3,burrow_id_1,burrow_id_2,burrow_id_3,cleaning_m_1,cleaning_m_2,cleaning_m_3,burrow_m_1,burrow_m_2,burrow_m_3,ratio_b_to_c_1,ratio_b_to_c_2,ratio_b_to_c_3
22,pt_104,pt_34,pt_112,893,894,892,530.5488247167219,531.3902164206614,640.7124330800274,232.28104225834892,233.63043369110113,243.6712571291394,0.43781275433485634,0.4396588918493629,0.3803129837168369
37,pt_28,pt_98,pt_138,2486,1653,3076,168.34752634608975,169.37247376590622,169.57012563198663,165.4046566273724,167.3511329298641,169.16930961284385,0.9825190795339197,0.9880657063624407,0.9976362816407138
41,pt_133,pt_148,pt_32,1433,1434,1467,216.34617093438683,219.69933488835454,221.56227886812502,123.82169528386636,127.00327982153556,132.5808399247532,0.572331346328375,0.5780776709500522,0.598390847946035
54,pt_84,pt_31,pt_76,2658,1791,1792,112.87432006078576,140.51830771554552,141.86704264716252,63.54515250713295,74.06728430095767,79.9159230839561,0.5629726271920152,0.52710059995096,0.5633156340808131
55,pt_66,pt_54,pt_88,2093,2094,2091,127.94763874313176,128.2551464435302,134.20634051770506,110.45853014144245,120.45977262698153,128.25526048483013,0.8633104231270691,0.9392197971565927,0.9556572363875026
59,pt_154,pt_3,pt_6,582,583,611,276.2937287262637,282.48647978058483,282.48647978058483,166.25655523700013,188.07049373006916,269.05843822969376,0.6017384325133119,0.6657681241103957,0.9524648345601495
60,pt_155,pt_157,pt_156,828,829,830,319.95996450118525,347.5383827747358,347.8713308025293,146.23093375889744,201.92246325791743,208.13000298728926,0.4570288473024122,0.5810076620768465,0.5982959346122005
62,pt_62,pt_9,pt_1,556,549,547,161.2599825139581,286.2422600255297,313.4601327303818,96.96299073020812,100.73804861022826,110.58365701061884,0.6012836490405506,0.3519328299086359,0.3527838007576414
69,pt_5,pt_2,pt_4,1013,1012,1011,809.950543970188,837.5494972392161,837.5494972392161,232.38076033593904,242.06037518520952,258.1879981493525,0.2869073452273554,0.28901023280785715,0.30826595801252127
109,pt_113,pt_170,pt_169,3026,3332,3275,145.157804490039,145.19817564980184,154.70692982973594,89.76497001498001,145.77056826792756,155.57437042411368,0.6183957544021674,1.003942147451675,1.0056069924943403
127,pt_84,pt_74,pt_75,1978,1977,1820,89.02565401259206,104.39287567282955,104.39287567282955,68.55675799871375,74.12519085615153,74.26106598354107,0.7700786785460388,0.7100598616371306,0.7113614363520123
41B,pt_149,pt_70,pt_109,1101,1579,1445,44.92861151170226,71.6326259229649,71.83242682641796,17.63174111989526,31.271531124580754,40.29976652757465,0.392439038880666,0.43655430359639136,0.5610247113738543
109B,pt_51,pt_170,pt_113,788,795,796,65.99625789245134,109.42142458717406,115.177402330988,16.448573317226884,21.15711451916049,26.891432445684575,0.24923493910869565,0.19335440567495996,0.23347837250579792
69B,pt_5,pt_2,pt_4,1013,1012,1011,630.0510987088861,676.2763943196136,676.2763943196136,103.55347459255492,142.7772669496069,170.95070848192475,0.16435726372790851,0.21112265362042082,0.25278230900535037
